comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	folds	delta_predictor_given_layer_mean	delta_predictor_given_layer_se	delta_layer_given_predictor_mean	delta_layer_given_predictor_se	delta_n_given_l_mean	delta_n_given_l_se	delta_l_given_n_mean	delta_l_given_n_se	delta_c_given_l_mean	delta_c_given_l_se	delta_l_given_c_mean	delta_l_given_c_se
ngram_vs_internal_layer	ngram	2	2	NA	2	5	-0.290496585037973	0.288684445522022	-0.452450758957793	0.181252804937176	-0.290496585037973	0.288684445522022	-0.452450758957793	0.181252804937176	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	3	5	-0.459500220554873	0.308503252459535	-0.659978199023196	0.288950072208084	-0.459500220554873	0.308503252459535	-0.659978199023196	0.288950072208084	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	4	5	-0.479340290122162	0.309134779105793	-0.674788257065395	0.323571317071293	-0.479340290122162	0.309134779105793	-0.674788257065395	0.323571317071293	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	5	5	-0.481558452405657	0.294705842139723	-0.607703686198983	0.225174933602938	-0.481558452405657	0.294705842139723	-0.607703686198983	0.225174933602938	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	6	5	-0.558281410919079	0.312785253430491	-0.667547750964595	0.229274259963784	-0.558281410919079	0.312785253430491	-0.667547750964595	0.229274259963784	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	7	5	-0.509943598514417	0.305774967322546	-0.625896745639152	0.182884938762192	-0.509943598514417	0.305774967322546	-0.625896745639152	0.182884938762192	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	8	5	-0.576169904855059	0.339070046636242	-0.69914728611392	0.217916665883029	-0.576169904855059	0.339070046636242	-0.69914728611392	0.217916665883029	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	9	5	-0.616743032233471	0.402161167533313	-0.729571774516047	0.320275458687392	-0.616743032233471	0.402161167533313	-0.729571774516047	0.320275458687392	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	10	5	-0.237902012205588	0.172233511794198	-0.354669089625943	0.109223102699628	-0.237902012205588	0.172233511794198	-0.354669089625943	0.109223102699628	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	11	5	-0.175369963215815	0.165399690525873	-0.304873934778794	0.115663839192765	-0.175369963215815	0.165399690525873	-0.304873934778794	0.115663839192765	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	12	5	-0.363882865169392	0.224513268748052	-0.47226191538711	0.151393243902465	-0.363882865169392	0.224513268748052	-0.47226191538711	0.151393243902465	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	1	5	-0.037315716392192	0.174738809366605	-0.264875275212362	0.0976323996526337	-0.037315716392192	0.174738809366605	-0.264875275212362	0.0976323996526337	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	2	5	-0.0584284142520483	0.202045410866489	-0.322051390563705	0.125084763288294	-0.0584284142520483	0.202045410866489	-0.322051390563705	0.125084763288294	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	3	5	-0.0983666597770991	0.221466743142496	-0.400513440637259	0.156898178377236	-0.0983666597770991	0.221466743142496	-0.400513440637259	0.156898178377236	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	4	5	-0.122238259740482	0.20340222340719	-0.419355029075552	0.182154688303073	-0.122238259740482	0.20340222340719	-0.419355029075552	0.182154688303073	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	5	5	-0.103491603729314	0.179721057642954	-0.331305639914477	0.113474586212471	-0.103491603729314	0.179721057642954	-0.331305639914477	0.113474586212471	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	6	5	-0.13366615872663	0.188140243394946	-0.344601301163982	0.0970956266297305	-0.13366615872663	0.188140243394946	-0.344601301163982	0.0970956266297305	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	7	5	-0.127062290217615	0.230989233251618	-0.344684239734187	0.12926955892879	-0.127062290217615	0.230989233251618	-0.344684239734187	0.12926955892879	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	8	5	-0.208703594167372	0.246761264405861	-0.433349777818069	0.178804550970337	-0.208703594167372	0.246761264405861	-0.433349777818069	0.178804550970337	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	9	5	-0.118253621910002	0.196202491004337	-0.332751166584415	0.154418725115076	-0.118253621910002	0.196202491004337	-0.332751166584415	0.154418725115076	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	10	5	0.0337132410166227	0.0898702072872791	-0.184722638795569	0.0210482553411738	0.0337132410166227	0.0898702072872791	-0.184722638795569	0.0210482553411738	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	11	5	0.0661331319088312	0.0635687823830033	-0.165039642045985	0.0277723842017635	0.0661331319088312	0.0635687823830033	-0.165039642045985	0.0277723842017635	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	3	3	NA	12	5	0.0945736239222391	0.0533917811534327	-0.115474228687316	0.0420827724996866	0.0945736239222391	0.0533917811534327	-0.115474228687316	0.0420827724996866	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	1	5	-0.289458725057528	0.223417043915048	-0.40139921477216	0.181073879368526	-0.289458725057528	0.223417043915048	-0.40139921477216	0.181073879368526	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	2	5	-0.297100105590145	0.238171277711315	-0.445104012796264	0.222985321574591	-0.297100105590145	0.238171277711315	-0.445104012796264	0.222985321574591	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	3	5	-0.378089393143119	0.276173452991179	-0.564617104897741	0.256622962255683	-0.378089393143119	0.276173452991179	-0.564617104897741	0.256622962255683	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	4	5	-0.408812859510507	0.281848781511997	-0.59031055974004	0.292889154884936	-0.408812859510507	0.281848781511997	-0.59031055974004	0.292889154884936	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	5	5	-0.382360684399251	0.259529381849993	-0.494555651478876	0.218385826513209	-0.382360684399251	0.259529381849993	-0.494555651478876	0.218385826513209	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	6	5	-0.377938629226937	0.263077780133644	-0.473254702558752	0.187162000035431	-0.377938629226937	0.263077780133644	-0.473254702558752	0.187162000035431	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	7	5	-0.343929816949282	0.255006871106202	-0.445932697360316	0.148012070718366	-0.343929816949282	0.255006871106202	-0.445932697360316	0.148012070718366	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	8	5	-0.364852524142237	0.229206136705007	-0.473879638687397	0.113768867026377	-0.364852524142237	0.229206136705007	-0.473879638687397	0.113768867026377	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	9	5	-0.305850800993804	0.171954126041832	-0.40472927656268	0.0789759354366525	-0.305850800993804	0.171954126041832	-0.40472927656268	0.0789759354366525	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	10	5	-0.246839489095206	0.169437522335105	-0.349656299801861	0.0870465769389792	-0.246839489095206	0.169437522335105	-0.349656299801861	0.0870465769389792	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	11	5	-0.140946477180597	0.157097628519493	-0.256500182029876	0.0957057679579861	-0.140946477180597	0.157097628519493	-0.256500182029876	0.0957057679579861	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	4	4	NA	12	5	-0.0710519929986345	0.122745000569972	-0.165480776502652	0.0679083909398655	-0.0710519929986345	0.122745000569972	-0.165480776502652	0.0679083909398655	NA	NA	NA	NA
