comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	fold	n_train	n_test	ll_m0_mean	ll_predictor_mean	ll_layer_mean	ll_joint_mean	delta_predictor_given_layer_mean	delta_layer_given_predictor_mean	delta_n_given_l_mean	delta_l_given_n_mean	delta_c_given_l_mean	delta_l_given_c_mean	ll_m0_sum	ll_predictor_sum	ll_layer_sum	ll_joint_sum	delta_predictor_given_layer_sum	delta_layer_given_predictor_sum	delta_n_given_l_sum	delta_l_given_n_sum	delta_c_given_l_sum	delta_l_given_c_sum
ngram_vs_internal_layer	ngram	0	0	NA	5	5	409	45	-4.44826430396403	-4.41101620290392	-4.42176177504673	-4.41645877885286	0.00530299619387709	-0.00544257594893249	0.00530299619387709	-0.00544257594893249	NA	NA	-200.171893678381	-198.495729130677	-198.979279877103	-198.740645048378	0.238634828724486	-0.244915917701945	0.238634828724486	-0.244915917701945	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	6	409	45	-4.63368851310806	-4.56754334762109	-4.58540438803818	-4.54259890522537	0.0428054828128062	0.024944442395717	0.0428054828128062	0.024944442395717	NA	NA	-208.515983089863	-205.539450642949	-206.343197461718	-204.416950735142	1.92624672657627	1.12249990780725	1.92624672657627	1.12249990780725	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	7	408	46	-4.99254488935761	-5.03580322406541	-4.92692581528027	-5.00595046345095	-0.0790246481706767	0.0298527606144594	-0.0790246481706767	0.0298527606144594	NA	NA	-229.65706491045	-231.646948307009	-226.638587502892	-230.273721318744	-3.63513381585111	1.37322698826515	-3.63513381585111	1.37322698826515	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	8	409	45	-4.50404071539604	-4.49563359315298	-4.4302478020015	-4.43840974802816	-0.00816194602665377	0.0572238451248275	-0.00816194602665377	0.0572238451248275	NA	NA	-202.681832192822	-202.303511691884	-199.361151090068	-199.728438661267	-0.367287571199398	2.57507303061723	-0.367287571199398	2.57507303061723	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	9	409	45	-4.58087065183731	-4.4871587000908	-4.55692065257331	-4.52482183416519	0.0320988184081274	-0.0376631340743812	0.0320988184081274	-0.0376631340743812	NA	NA	-206.139179332679	-201.922141504086	-205.061429365799	-203.616982537433	1.44444682836573	-1.69484103334713	1.44444682836573	-1.69484103334713	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	10	408	46	-4.76365841592551	-4.79601619546453	-4.75656363421873	-4.78152566036587	-0.0249620261471337	0.0144905350986608	-0.0249620261471337	0.0144905350986608	NA	NA	-219.128287132574	-220.616744991368	-218.801927174062	-219.95018037683	-1.14825320276816	0.666564614538373	-1.14825320276816	0.666564614538373	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	1	408	46	-4.48649557711874	-4.4739699965859	-4.54982778864202	-4.52306986154417	0.0267579270978526	-0.0490998649582703	0.0267579270978526	-0.0490998649582703	NA	NA	-206.378796547462	-205.802619842951	-209.292078277533	-208.061213631032	1.23086464650123	-2.25859378808042	1.23086464650123	-2.25859378808042	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	2	409	45	-4.55227129162572	-4.49023150938962	-4.50283898928398	-4.46362511944906	0.0392138698349269	0.02660638994056	0.0392138698349269	0.02660638994056	NA	NA	-204.852208123157	-202.060417922533	-202.627754517779	-200.863130375208	1.76462414257171	1.19728754732517	1.76462414257171	1.19728754732517	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	3	409	45	-4.83691345434996	-4.72583133026769	-4.75397662906952	-4.68485248446759	0.0691241446019237	0.0409788458000939	0.0691241446019237	0.0409788458000939	NA	NA	-217.661105445748	-212.662409862046	-213.928948308128	-210.818361801042	3.11058650708659	1.84404806100426	3.11058650708659	1.84404806100426	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	4	408	46	-4.84394400575021	-4.89578396764768	-4.76331371995326	-4.84139999281671	-0.0780862728634553	0.0543839748309658	-0.0780862728634553	0.0543839748309658	NA	NA	-222.82142426451	-225.206062511793	-219.11243111785	-222.704399669569	-3.59196855171894	2.50166284222442	-3.59196855171894	2.50166284222442	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	5	409	45	-4.44826430396403	-4.41101620290392	-4.42505267250129	-4.41768129799532	0.0073713745059667	-0.00666509509139779	0.0073713745059667	-0.00666509509139779	NA	NA	-200.171893678381	-198.495729130677	-199.127370262558	-198.795658409789	0.331711852768535	-0.29992927911286	0.331711852768535	-0.29992927911286	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	6	409	45	-4.63368851310806	-4.56754334762109	-4.58690195239298	-4.53624391220139	0.0506580401915899	0.0312994354197	0.0506580401915899	0.0312994354197	NA	NA	-208.515983089863	-205.539450642949	-206.410587857684	-204.130976049062	2.27961180862155	1.40847459388652	2.27961180862155	1.40847459388652	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	7	408	46	-4.99254488935761	-5.03580322406541	-4.91832963658678	-4.99454773102175	-0.0762180944349771	0.0412554930436508	-0.0762180944349771	0.0412554930436508	NA	NA	-229.65706491045	-231.646948307009	-226.243163282992	-229.749195627001	-3.50603234400896	1.89775268000795	-3.50603234400896	1.89775268000795	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	8	409	45	-4.50404071539604	-4.49563359315298	-4.44832619365831	-4.45056062702926	-0.00223443337095119	0.0450729661237217	-0.00223443337095119	0.0450729661237217	NA	NA	-202.681832192822	-202.303511691884	-200.174678714624	-200.275228216317	-0.100549501692825	2.02828347556743	-0.100549501692825	2.02828347556743	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	9	409	45	-4.58087065183731	-4.4871587000908	-4.55071103627378	-4.51310383983976	0.0376071964340268	-0.0259451397489512	0.0376071964340268	-0.0259451397489512	NA	NA	-206.139179332679	-201.922141504086	-204.78199663232	-203.089672792789	1.69232383953124	-1.16753128870278	1.69232383953124	-1.16753128870278	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	6	10	408	46	-4.76365841592551	-4.79601619546453	-4.76538114242777	-4.78964731680642	-0.0242661743786465	0.00636887865811175	-0.0242661743786465	0.00636887865811175	NA	NA	-219.128287132574	-220.616744991368	-219.207532551677	-220.323776573095	-1.11624402141774	0.292968418273148	-1.11624402141774	0.292968418273148	NA	NA
